Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

01:08:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:08        all      8.00      0.00      1.37      0.23      0.00     90.40
01:10:08        all      5.96      0.00      0.63      0.16      0.00     93.25
01:11:08        all      4.74      0.00      0.41      0.08      0.00     94.77
01:12:08        all      4.73      0.00      0.41      0.05      0.00     94.81
01:13:08        all      4.58      0.00      0.54      0.08      0.00     94.80
01:14:08        all      4.37      0.00      0.59      0.38      0.00     94.66
01:15:08        all      7.49      0.00      1.89      0.04      0.00     90.58
01:16:08        all      8.15      0.00      0.42      0.05      0.00     91.37
01:17:08        all      5.89      0.00      0.52      0.18      0.00     93.41
01:18:08        all      4.87      0.00      0.24      0.01      0.00     94.87
01:19:08        all      4.87      0.00      0.25      0.02      0.00     94.86
