ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1415064006.15124,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415064006.15124,pg_catalog,pg_db_role_setting,0,0,33620,0,0,0,0,0,0,0,0,0,975,32645,0,0,0,0
1415064006.15124,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415064006.15124,pg_catalog,pg_description,0,0,718,0,0,0,0,0,0,0,0,0,206,1391,0,0,0,0
1415064006.15124,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415064006.15124,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415064006.15124,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415064006.15124,public,orders,10,60000000,30,30,15000000,0,0,0,15000000,0,504554,1558810,8,118,,,,
1415064006.15124,pg_catalog,pg_class,6448,1756550,284459,271222,325,97,287,92,337,66,7693,328033,8263,580968,,,,
1415064006.15124,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415064006.15124,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415064006.15124,pg_catalog,pg_operator,0,0,45240,199219,0,0,0,0,0,0,9159,132421,6233,95143,,,,
1415064006.15124,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415064006.15124,pg_catalog,pg_attribute,649,4425,193470,378959,1346,50,1168,27,2514,544,10484,209008,5078,396854,,,,
1415064006.15124,pg_catalog,pg_tablespace,2,4,5784,5784,0,0,0,0,0,0,787,4999,1587,10007,,,,
1415064006.15124,pg_catalog,pg_statistic,0,0,38987,34907,341,690,278,387,464,63,5175,32404,2602,82594,2686,10171,437,12322
