# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415064653;982592;263136964;99.63;192352;220114424;139108220;50.83;175140968;78215392
axle;60;1415064713;1532192;262587364;99.42;191764;217527836;140987452;51.51;175217424;77577092
axle;60;1415064773;1347276;262772280;99.49;191788;217016228;141800548;51.81;175622600;77360312
axle;60;1415064833;2365204;261754352;99.10;191212;215683052;142134420;51.93;174749108;77234968
axle;60;1415064893;6768548;257351008;97.44;191464;216054332;137554156;50.26;170198744;77400340
axle;60;1415064953;3280904;260838652;98.76;191656;216357560;140587884;51.37;173496120;77563700
axle;60;1415065013;6005168;258114388;97.73;191984;216641928;137542612;50.26;170610784;77727480
axle;60;1415065073;4832056;259287500;98.17;192196;217020456;138301380;50.53;171610880;77914572
axle;60;1415065133;1758836;262360720;99.33;192420;217326556;141181484;51.59;174515612;78085984
axle;60;1415065193;7051016;257068540;97.33;192624;217610384;135643272;49.56;169172336;78227148
axle;60;1415065253;8059516;256060040;96.95;192816;218052712;134317756;49.08;168080792;78465020
axle;60;1415065313;7583392;256536164;97.13;193028;218542600;134337860;49.08;168286392;78739452
